county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Tana River,2022,681531.1124572754,114308.0078125,342047.18603515625,14666.48110961914,104.7392870641916,37.70663644894389,33.418783278851826,4.287853170092062,16.77223617867715,2.1519899593048395
Tharaka-Nithi,2022,338481.20848083496,35958.26513671875,207375.5634765625,17608.58299255371,97.59543790114635,25.830839097551895,17.339682908580855,8.491156188971043,10.623415491248675,5.202233551334865
Trans Nzoia,2022,1067240.2082519531,143016.2978515625,591585.2294921875,27571.876220703125,97.99324903925655,28.835773032855688,24.175096118327136,4.660676914528549,13.400572499588522,2.5834742738809915
Turkana,2022,1011045.0737457277,146412.208984375,542638.9487304688,18971.42384338379,107.2891315306457,30.47765613114985,26.981514933071757,3.4961411980780945,14.481274157436516,1.876417217790134
Uasin Gishu,2022,1327952.84664917,162953.306640625,818295.294921875,29491.91696166992,100.41747011279368,23.517821108902773,19.91375334208449,3.604067766818285,12.271016026796875,2.22085573566012
Vihiga,2022,577462.8563232422,65328.8876953125,321049.08154296875,32235.738647460938,92.5364215787941,30.38931800517097,20.348567073090653,10.040750932080318,11.313089141571355,5.5823051291487
Wajir,2022,851609.1088562012,136498.8984375,421249.9653320313,9442.698211669922,114.00393596316856,34.64489226346596,32.40330199906626,2.2415902643996994,16.028351155242117,1.1088066242448298
West Pokot,2022,728332.4037704468,134006.404296875,348563.6142578125,16135.088340759276,98.76930401547276,43.074344680906144,38.445322120672685,4.629022560233461,18.39907212738961,2.215346764366216
Baringo,2023,708671.0281982422,102428.84375,381122.447265625,20659.897338867188,102.20573448508524,32.29637665584151,26.87557358137233,5.420803074469182,14.453651930772422,2.915301531571548
Bomet,2023,967224.9909362792,123678.58984375,550774.0546875,26414.467498779297,99.21065379936472,27.251294076967657,22.45541321185203,4.795880865115628,12.7869514335055,2.730953784931668
Bungoma,2023,2140044.1514282227,280846.3046875,1169469.087890625,59689.586975097656,94.85042117896712,29.118845054453157,24.014854911134364,5.10399014331879,13.123388342248395,2.789175491321617
Busia,2023,977677.4700927734,125518.775390625,542687.7333984375,31603.281616210938,91.64496855870723,28.95257204781484,23.129097575984822,5.823474471830014,12.838464547895772,3.232485413948636
Elgeyo-Marakwet,2023,446712.42641448975,60517.20751953125,250010.109375,14356.836082458496,100.57307050694692,29.948406402112017,24.20590418156216,5.742502220549855,13.547240672319989,3.213887779592964
Embu,2023,682395.7334594727,69256.3046875,443356.1806640625,32743.45513916016,100.65562489011867,23.006278986318424,15.620917832648084,7.385361153670339,10.148994387230166,4.798308889354272
Garissa,2023,1084120.0549926758,160536.123046875,559724.4619140625,18467.56378173828,114.01038050066389,31.980679603761303,28.68127694435534,3.29940265940596,14.807965437735543,1.703461133911322
Homa Bay,2023,1192303.9989013672,166261.474609375,636359.9453125,39554.90710449219,91.57729698657674,32.34276186456017,26.126954695070925,6.215807169489241,13.944553969673375,3.317518614459025
Isiolo,2023,402687.4026184082,61825.80419921875,215605.0061035156,9098.486846923828,110.25129461121789,32.89547507634894,28.67549567449985,4.219979401849088,15.353299804564704,2.259441638293729
Kajiado,2023,1506087.246444702,210191.06640625,926407.623046875,23925.16636657715,100.57746886628983,25.271406122807903,22.68883169537721,2.582574427430696,13.956101607156624,1.5885644356298312
Kakamega,2023,1664063.8192138672,204127.62890625,924218.96875,58279.99499511719,92.53220101051348,28.39236509679862,22.08650068958564,6.305864407212989,12.266814923161029,3.502269223223041
Kericho,2023,977023.9124450684,120097.421875,576785.3291015625,27071.43881225586,100.73957776613835,25.515361307212064,20.821857945324545,4.693503361887524,12.292168118428965,2.770806166300245
Kiambu,2023,2998741.6544189453,346830.625,2033318.837890625,73541.36340332031,97.65656306969682,20.67417960084491,17.057365452818203,3.616814148026705,11.565872121358318,2.452407438798529
Kilifi,2023,1674273.1333618164,233328.87109375,940535.685546875,48936.350158691406,94.60530612189156,30.01111234693005,24.808082742557588,5.203029604372463,13.936129442944766,2.922841511553784
